Module,TXT,RO,DATA,BSS,TOTAL,FatalCount,F3Count
apps_proc/core/services/osal/qurt/src/osal_qurt.c,1628,69,8,392,2103,0,1
apps_proc/core/products/pad_seg/build/apps_proc/cortex-a7/ACENAAKZ/src/boot_pad_seg.o.i,0,8192,0,8192,16384,0,0
apps_proc/core/products/scm/src/scm2.c,1052,0,12,0,1064,0,0
apps_proc/core/products/scm/src/scm.c,1198,0,32,64,1294,0,0
apps_proc/core/products/scm/src/tz_syscalls.c,72,34,0,0,116,0,2
apps_proc/core/products/scm/build/apps_proc/cortex-a7/ACENAAKZ/src/tz_smc2.o.i,68,0,0,0,68,0,0
apps_proc/core/products/scm/build/apps_proc/cortex-a7/ACENAAKZ/src/tz_smc.o.i,36,0,0,0,36,0,0
apps_proc/core/products/dsr/src/dsr_framework.c,1638,156,28,64,1892,0,14
apps_proc/core/products/product_dump/src/product_dump.c,474,95,12,2312,2895,0,8
apps_proc/core/products/product_dump/src/product_lock.c,18,0,0,64,82,0,0
apps_proc/core/products/qapi_utils/src/qapi_utils.c,366,628,12,104,1110,0,18
apps_proc/core/products/qapi_utils/src/qmi_utils_client.c,196,287,12,204,709,0,8
apps_proc/core/entry/entry/entry_mc.c,4,0,0,0,8,0,0
apps_proc/core/entry/build/apps_proc/cortex-a7/ACENAAKZ/entry/entry.o.i,32,0,0,0,32,0,0
apps_proc/core/mproc/rspcom/src/rspcom_core.c,3114,680,8,0,3802,0,2
apps_proc/core/mproc/rspcom/src/rspcom_log_ulog.c,66,0,12,0,78,0,0
apps_proc/core/mproc/rspcom/src/rspcom_os_qurt.c,4,0,0,0,4,0,0
apps_proc/core/mproc/rspcom/src/rspcom_xport_sio.c,1848,1065,4,0,2919,0,3
apps_proc/core/mproc/smp2p/src/smp2p.c,1348,48,4,672,2072,0,4
apps_proc/core/mproc/smp2p/src/smp2p_internal.c,2456,131,0,0,2593,0,11
apps_proc/core/mproc/smp2p/src/smp2p_qurt.c,1402,153,12,424,1997,0,16
apps_proc/core/mproc/qmi/qcsi/qmi_csi_common.c,5544,0,58,328,5934,0,0
apps_proc/core/mproc/qmi/qcsi/qmi_csi_xport_ipc.c,1992,0,40,0,2032,0,0
apps_proc/core/mproc/qmi/qcsi/qmi_csi_target.c,106,27,0,0,139,0,2
apps_proc/core/mproc/qmi/encdec/qmi_idl_accessor.c,690,0,0,0,694,0,0
apps_proc/core/mproc/qmi/encdec/qmi_idl_lib.c,5196,0,0,0,5196,0,0
apps_proc/core/mproc/qmi/encdec/qmi_idl_shim_kernel_stubs.c,8,0,0,0,8,0,0
apps_proc/core/mproc/qmi/qcci/qmi_cci_target.c,572,0,0,0,572,0,1
apps_proc/core/mproc/qmi/qcci/qmi_cci_xport_ipc.c,572,0,20,0,592,0,0
apps_proc/core/mproc/qmi/qcci/qmi_cci_shim_kernel.c,4242,82,4,80,4412,0,47
apps_proc/core/mproc/qmi/qcci/qmi_cci_common.c,8574,0,16,224,8818,0,6
apps_proc/core/mproc/qmi/common/qmi_fw_init.c,290,0,4,0,294,0,0
apps_proc/core/mproc/qmi/qmi_si/qmi_si_database.c,694,0,8,64,766,0,0
apps_proc/core/mproc/qmi/qmi_si/qmi_si_impl.c,430,0,0,0,434,0,0
apps_proc/core/mproc/smd/src/smd_sio.c,5028,322,0,1664,7018,0,33
apps_proc/core/mproc/smd/src/smd_qurt.c,2410,180,52,1460,4108,0,16
apps_proc/core/mproc/smd/src/smd_dsm.c,1700,184,0,768,2660,0,17
apps_proc/core/mproc/smd/src/smd_dsm_memcpy.c,990,47,0,0,1043,0,3
apps_proc/core/mproc/smd/src/smd_lite_api.c,3308,145,0,0,3455,0,13
apps_proc/core/mproc/smd/src/smd_main.c,2718,161,0,2960,5841,0,17
apps_proc/core/mproc/smd/src/smd.c,1240,194,0,0,1438,0,17
apps_proc/core/mproc/smd/src/smd_memcpy.c,1872,123,0,0,2001,0,11
apps_proc/core/mproc/smd/src/smd_packet_memcpy.c,700,102,0,0,802,0,5
apps_proc/core/mproc/smd/src/smd_internal.c,4472,385,88,40,4987,0,37
apps_proc/core/mproc/bam_dmux/src/bam_dmux_core.c,7646,3937,24,192,11799,0,18
apps_proc/core/mproc/bam_dmux/src/bam_dmux_bam_iface.c,2444,1141,12,320,3923,0,14
apps_proc/core/mproc/bam_dmux/src/bam_dmux_power.c,2022,525,12,192,2757,0,5
apps_proc/core/mproc/bam_dmux/src/bam_dmux_log.c,56,0,8,0,64,0,0
apps_proc/core/mproc/bam_dmux/src/bam_dmux_os_qurt.c,164,207,16,64,453,0,2
apps_proc/core/mproc/smsm/src/smsm.c,1826,257,20,216,2321,0,26
apps_proc/core/mproc/smsm/src/smsm_qurt.c,122,22,0,0,144,0,1
apps_proc/core/mproc/smsm/src/smsm_intr_dal.c,528,106,4,20,658,0,9
apps_proc/core/mproc/smem/src/smem_partition.c,1632,127,0,308,2073,0,11
apps_proc/core/mproc/smem/src/smem.c,1372,167,40,24,1605,0,10
apps_proc/core/mproc/smem/src/smem_log.c,1140,31,80,0,1253,0,2
apps_proc/core/mproc/smem/src/spinlock.c,166,69,20,0,257,0,3
apps_proc/core/mproc/smem/src/smem_dal.c,260,31,12,0,305,0,4
apps_proc/core/mproc/smem/src/smem_mapping_qurt.c,472,100,0,0,572,0,8
apps_proc/core/mproc/smem/src/smem_ext.c,8,0,0,0,8,0,0
apps_proc/core/mproc/smem/src/spinlock_internal.c,126,0,8,32,166,0,0
apps_proc/core/mproc/smem/src/spinlock_cs_qurt.c,132,0,0,72,204,0,0
apps_proc/core/mproc/smem/src/smem_qurt.c,94,32,0,0,126,0,2
apps_proc/core/mproc/smem/src/smem_list.c,186,0,0,0,190,0,0
apps_proc/core/mproc/ipc_router/qsocket_ipcr.c,4116,0,8,160,4284,0,0
apps_proc/core/mproc/ipc_router/ipc_router_core.c,4748,0,8,144,4900,0,11
apps_proc/core/mproc/ipc_router/ipc_router_protocol.c,754,0,0,0,758,0,0
apps_proc/core/mproc/ipc_router/ipc_router_database.c,3470,0,0,264,3734,0,1
apps_proc/core/mproc/ipc_router/ipc_router_packet.c,932,0,4,0,936,0,0
apps_proc/core/mproc/ipc_router/ipc_router_log.c,382,0,0,0,382,0,1
